dataset,method,ROC-AUC,Detection-Rate,False-Alarm,F1-Score,Log-Likelihood
arrhythmia,iforest,0.7268211920529801,0.5,0.046357615894039736,0.576923076923077,4.198114242375947
arrhythmia,knn,0.6768211920529801,0.4,0.046357615894039736,0.4897959183673469,4.770580149473915
arrhythmia,lof,0.6634657836644592,0.36666666666666664,0.039735099337748346,0.46808510638297873,4.770575731808554
arrhythmia,pca,0.6768211920529801,0.4,0.046357615894039736,0.4897959183673469,4.770580149473915
arrhythmia,ocsvm,0.6901766004415011,0.43333333333333335,0.052980132450331126,0.5098039215686274,4.7705845671392755
cardio,iforest,0.8039658634538153,0.6666666666666666,0.058734939759036146,0.5974025974025974,2.9214670133482135
cardio,knn,0.6355094290204296,0.34782608695652173,0.07680722891566265,0.3333333333333333,4.5235515871492025
cardio,lof,0.53452942203597,0.15942028985507245,0.09036144578313253,0.15714285714285714,5.56019589419546
cardio,pca,0.7989785227867994,0.6521739130434783,0.05421686746987952,0.6,2.8272242417491524
cardio,ocsvm,0.7704622839182819,0.6086956521739131,0.0677710843373494,0.5384615384615384,3.392671053639739
glass,iforest,0.6904761904761905,0.5,0.11904761904761904,0.15384615384615385,4.417843445561855
glass,knn,0.6964285714285715,0.5,0.10714285714285714,0.16666666666666669,4.016220468906728
glass,lof,0.7083333333333334,0.5,0.08333333333333333,0.2,3.2129745155964753
glass,pca,0.6904761904761905,0.5,0.11904761904761904,0.15384615384615385,4.4178434455618545
glass,ocsvm,0.6964285714285715,0.5,0.10714285714285714,0.16666666666666669,4.016220468906728
ionosphere,iforest,0.6170212765957447,0.23404255319148937,0.0,0.3793103448275862,8.81841099444528
ionosphere,knn,0.6382978723404256,0.2765957446808511,0.0,0.43333333333333335,8.328499272531653
ionosphere,lof,0.6063829787234043,0.2127659574468085,0.0,0.3508771929824561,9.063366855402094
ionosphere,pca,0.6170212765957447,0.23404255319148937,0.0,0.3793103448275862,8.81841099444528
ionosphere,ocsvm,0.6276595744680851,0.2553191489361702,0.0,0.4067796610169491,8.573455133488467
letter,iforest,0.508212270979981,0.15151515151515152,0.13509060955518945,0.08333333333333333,5.936454641296018
letter,knn,0.7532824122609953,0.5757575757575758,0.06919275123558484,0.4042553191489362,3.0221954081360414
letter,lof,0.7257750486745544,0.5454545454545454,0.09390444810543658,0.3333333333333333,3.8856835585735796
letter,pca,0.5307772951924518,0.18181818181818182,0.12026359143327842,0.10714285714285714,5.396775015786677
letter,ocsvm,0.5586091558084968,0.24242424242424243,0.12520593080724876,0.13675213675213674,5.450745602016679
lympho,iforest,0.9913793103448275,1.0,0.017241379310344827,0.8,0.5756595998723488
lympho,knn,0.9827586206896552,1.0,0.034482758620689655,0.6666666666666666,1.1513191997446968
lympho,lof,0.9741379310344828,1.0,0.05172413793103448,0.5714285714285715,1.7269787996170447
lympho,pca,0.9741379310344828,1.0,0.05172413793103448,0.5714285714285715,1.7269787996170447
lympho,ocsvm,0.9655172413793103,1.0,0.06896551724137931,0.5,2.302638399489392
mnist,iforest,0.624938307609476,0.328125,0.07824838478104809,0.30107526881720426,4.428105557611753
mnist,knn,0.6665764649138549,0.39453125,0.06137832017229002,0.3825757575757576,3.70143913080258
mnist,lof,0.6256982456927495,0.3203125,0.06891600861450108,0.309433962264151,4.15560344616828
mnist,pca,0.655174589465183,0.37890625,0.06855707106963388,0.35661764705882354,3.9739396651308043
mnist,ocsvm,0.6539183080581479,0.37890625,0.07106963388370424,0.35208711433756806,4.0534192943045015
musk,iforest,0.964735516372796,1.0,0.07052896725440806,0.4473684210526315,2.3684280680462324
musk,knn,0.5970884575492665,0.2647058823529412,0.07052896725440806,0.14173228346456693,3.073301055697471
musk,lof,0.5714673778831433,0.23529411764705882,0.09235936188077246,0.10526315789473684,3.834580853408306
musk,pca,0.9609571788413098,1.0,0.07808564231738035,0.42236024844720504,2.622188218194043
musk,ocsvm,0.961376994122586,1.0,0.07724601175482787,0.425,2.5939926459553972
pendigits,iforest,0.8134657594381037,0.7205882352941176,0.09365671641791044,0.266304347826087,3.3936209336174907
pendigits,knn,0.5852282704126426,0.27941176470588236,0.10895522388059702,0.10026385224274406,4.28601027405901
pendigits,lof,0.5249122036874452,0.16176470588235295,0.11194029850746269,0.05804749340369393,4.487111736612873
pendigits,pca,0.801558384547849,0.6911764705882353,0.0880597014925373,0.26780626780626776,3.2302235220107622
pendigits,ocsvm,0.7831211589113256,0.6617647058823529,0.0955223880597015,0.24390243902439027,3.5067406517911985
satimage-2,iforest,0.9592770034843205,1.0,0.08144599303135888,0.2175732217573222,2.781610986463284
satimage-2,knn,0.8375770570892522,0.7692307692307693,0.09407665505226481,0.15267175572519084,3.302231297465588
satimage-2,lof,0.48445456982042345,0.07692307692307693,0.10801393728222997,0.014492753623188404,4.0459713521009455
satimage-2,pca,0.9575348432055749,1.0,0.08493031358885017,0.21052631578947367,2.900610386953692
satimage-2,ocsvm,0.9608013937282229,1.0,0.078397212543554,0.22413793103448276,2.6774865110341772
shuttle,iforest,0.9756234147696919,0.9808102345415778,0.029563405002193944,0.8298256163559832,0.9954365508699189
shuttle,knn,0.590679208327447,0.2622601279317697,0.08090171127687583,0.22700707474623194,4.419630555864357
shuttle,lof,0.535417978433539,0.1613361762615494,0.09050021939447125,0.13824604141291108,4.977140207411633
shuttle,pca,0.9654514715646365,0.9623312011371713,0.031428258007898204,0.8122375524895021,1.1009589180987627
shuttle,ocsvm,0.9691994019746438,0.9680170575692963,0.029618253620008774,0.8232094288304623,1.0288515695114349
